industry,clay_count,rows_downloaded,unique_companies,coverage_pct,file
"Appliances, Electrical, and Electronics Manufacturing",162595,168074,162376,99.9,delivery\India\India Data [Clay] -Appliances-Electrical-and-Electronics-Manufacturing.csv
Biotechnology Research,9041,9112,9041,100.0,delivery\India\India Data [Clay] -Biotechnology-Research.csv
Information Services,6788,6847,6789,100.0,delivery\India\India Data [Clay] -Information-Services.csv
Telecommunications,6559,5343,5330,81.3,delivery\India\India Data [Clay] -Telecommunications.csv
Automation Machinery Manufacturing,5082,4843,4812,94.7,delivery\India\India Data [Clay] -Automation-Machinery-Manufacturing.csv
Renewable Energy Semiconductor Manufacturing,2950,2950,2950,100.0,delivery\India\India Data [Clay] -Renewable-Energy-Semiconductor-Manufacturing.csv
Biotechnology,2492,2491,2491,100.0,delivery\India\India Data [Clay] -Biotechnology.csv
Industrial Automation,995,996,996,100.1,delivery\India\India Data [Clay] -Industrial-Automation.csv
Consumer Electronics,972,972,972,100.0,delivery\India\India Data [Clay] -Consumer-Electronics.csv
Robotics Engineering,781,782,782,100.1,delivery\India\India Data [Clay] -Robotics-Engineering.csv
Media & Telecommunications,608,607,607,99.8,delivery\India\India Data [Clay] -Media-Telecommunications.csv
Space Research and Technology,518,518,518,100.0,delivery\India\India Data [Clay] -Space-Research-and-Technology.csv
Nanotechnology Research,272,272,272,100.0,delivery\India\India Data [Clay] -Nanotechnology-Research.csv
Climate Technology Product Manufacturing,253,253,253,100.0,delivery\India\India Data [Clay] -Climate-Technology-Product-Manufacturing.csv
Climate Data and Analytics,130,130,130,100.0,delivery\India\India Data [Clay] -Climate-Data-and-Analytics.csv
Satellite Telecommunications,30,30,30,100.0,delivery\India\India Data [Clay] -Satellite-Telecommunications.csv
Telecommunications Carriers,16,17,17,106.2,delivery\India\India Data [Clay] -Telecommunications-Carriers.csv
