industry,clay_count,rows_downloaded,unique_companies,coverage_pct,file
Telecommunications,22435,22813,22254,99.2,delivery\UK\UK Data [Clay] -Telecommunications.csv
"Appliances, Electrical, and Electronics Manufacturing",20616,20363,19939,96.7,delivery\UK\UK Data [Clay] -Appliances-Electrical-and-Electronics-Manufacturing.csv
Information Services,17398,12336,12060,69.3,delivery\UK\UK Data [Clay] -Information-Services.csv
Renewable Energy Semiconductor Manufacturing,6659,5893,5862,88.0,delivery\UK\UK Data [Clay] -Renewable-Energy-Semiconductor-Manufacturing.csv
Automation Machinery Manufacturing,5373,5391,5372,100.0,delivery\UK\UK Data [Clay] -Automation-Machinery-Manufacturing.csv
Biotechnology Research,4992,4992,4992,100.0,delivery\UK\UK Data [Clay] -Biotechnology-Research.csv
Consumer Electronics,1955,1955,1955,100.0,delivery\UK\UK Data [Clay] -Consumer-Electronics.csv
Industrial Automation,1632,1632,1632,100.0,delivery\UK\UK Data [Clay] -Industrial-Automation.csv
Biotechnology,1157,1157,1157,100.0,delivery\UK\UK Data [Clay] -Biotechnology.csv
Media & Telecommunications,462,461,461,99.8,delivery\UK\UK Data [Clay] -Media-Telecommunications.csv
Nanotechnology Research,397,397,397,100.0,delivery\UK\UK Data [Clay] -Nanotechnology-Research.csv
Space Research and Technology,303,303,303,100.0,delivery\UK\UK Data [Clay] -Space-Research-and-Technology.csv
Robotics Engineering,256,256,256,100.0,delivery\UK\UK Data [Clay] -Robotics-Engineering.csv
Climate Technology Product Manufacturing,197,197,197,100.0,delivery\UK\UK Data [Clay] -Climate-Technology-Product-Manufacturing.csv
Climate Data and Analytics,180,180,180,100.0,delivery\UK\UK Data [Clay] -Climate-Data-and-Analytics.csv
Satellite Telecommunications,50,50,50,100.0,delivery\UK\UK Data [Clay] -Satellite-Telecommunications.csv
Telecommunications Carriers,24,24,24,100.0,delivery\UK\UK Data [Clay] -Telecommunications-Carriers.csv
